HWND: 0x10410, Parent: 0x0, Class: SecHealth Window Class, Title: SecurityHealthSystray
HWND: 0x1040c, Parent: 0x0, Class: RealtekAudioBackgroundProcessClass, Title: RealtekAudioBackgroundProcessClass
HWND: 0x203ee, Parent: 0x0, Class: .NET-BroadcastEventWindow.bf7771.0, Title: .NET-BroadcastEventWindow.bf7771.0
HWND: 0x103c2, Parent: 0x0, Class: LOCATIONNOTIFICATION, Title: 位置通知
HWND: 0x30098, Parent: 0x0, Class: GDI+ Hook Window Class, Title: GDI+ Window (Explorer.EXE)
HWND: 0x40034, Parent: 0x0, Class: NVSVC64.DLL, Title: NvSvc
HWND: 0x20086, Parent: 0x0, Class: UxdService, Title: UxdService
HWND: 0x102da, Parent: 0x0, Class: UxdService, Title: UxdService
HWND: 0x102aa, Parent: 0x0, Class: BluetoothNotificationAreaIconWindowClass, Title: BluetoothNotificationAreaIconWindowClass
HWND: 0x10292, Parent: 0x0, Class: MS_WebcheckMonitor, Title: MS_WebcheckMonitor
HWND: 0x2024a, Parent: 0x0, Class: OleDdeWndClass, Title: DDE Server Window
HWND: 0x20154, Parent: 0x0, Class: BroadcastListenerWindowThreadClass10616, Title: BroadcastListenerWindow
HWND: 0x20150, Parent: 0x0, Class: BroadcastListenerWindowThreadClass10600, Title: BroadcastListenerWindow
HWND: 0x20186, Parent: 0x0, Class: BroadcastListenerWindowThreadClass10568, Title: BroadcastListenerWindow
HWND: 0x8013a, Parent: 0x0, Class: BroadcastListenerWindowThreadClass10520, Title: BroadcastListenerWindow
HWND: 0x1017e, Parent: 0x0, Class: BroadcastListenerWindowThreadClass10504, Title: BroadcastListenerWindow
HWND: 0x1010a, Parent: 0x0, Class: PushNotificationsPowerManagement, Title: Windows Push Notifications Platform
HWND: 0x100f2, Parent: 0x0, Class: BroadcastListenerWindowThreadClass9308, Title: BroadcastListenerWindow
HWND: 0x100ec, Parent: 0x0, Class: BroadcastListenerWindowThreadClass9296, Title: BroadcastListenerWindow
HWND: 0x100d8, Parent: 0x0, Class: COMTASKSWINDOWCLASS, Title: Task Host Window
HWND: 0x100c2, Parent: 0x0, Class: BroadcastListenerWindowThreadClass9112, Title: BroadcastListenerWindow
HWND: 0x100ac, Parent: 0x0, Class: NvContainerWindowClass000021B4, Title: NvContainerWindowClass000021B4
HWND: 0x200a8, Parent: 0x0, Class: NvContainerWindowClass0000219C, Title: NvContainerWindowClass0000219C
HWND: 0x1005e, Parent: 0x0, Class: NvContainerWindowClass00000D0C, Title: NvContainerWindowClass00000D0C
HWND: 0x2004a, Parent: 0x0, Class: Dwm, Title: DWM Notification Window
HWND: 0x10314, Parent: 0x0, Class: Windows.UI.Core.CoreWindow, Title: Windows 输入体验
HWND: 0x705a4, Parent: 0x0, Class: GDI+ Hook Window Class, Title: GDI+ Window (crashpad_handler.exe)
HWND: 0x20124, Parent: 0x0, Class: Progman, Title: Program Manager
HWND: 0x101e4, Parent: 0x101e2, Class: IME, Title: Default IME
HWND: 0x1502a4, Parent: 0x106d0, Class: MSCTFIME UI, Title: MSCTFIME UI
HWND: 0x106d0, Parent: 0x106ce, Class: IME, Title: Default IME
HWND: 0x50136, Parent: 0x10146, Class: MSCTFIME UI, Title: MSCTFIME UI
HWND: 0x10146, Parent: 0x10144, Class: IME, Title: Default IME
HWND: 0x4094e, Parent: 0x40976, Class: MSCTFIME UI, Title: MSCTFIME UI
HWND: 0x40976, Parent: 0x50660, Class: IME, Title: Default IME
HWND: 0x10270, Parent: 0x1026e, Class: IME, Title: Default IME
HWND: 0x117078a, Parent: 0x670808, Class: IME, Title: Default IME
HWND: 0x30738, Parent: 0x5062e, Class: CiceroUIWndFrame, Title: CiceroUIWndFrame
HWND: 0x10722, Parent: 0x30202, Class: CiceroUIWndFrame, Title: CiceroUIWndFrame
HWND: 0x20099c, Parent: 0x370778, Class: MSCTFIME UI, Title: MSCTFIME UI
HWND: 0x370778, Parent: 0x2c073a, Class: IME, Title: Default IME
HWND: 0x1019a, Parent: 0x10102, Class: MSCTFIME UI, Title: MSCTFIME UI
HWND: 0x10102, Parent: 0x305e4, Class: IME, Title: Default IME
HWND: 0x70a1a, Parent: 0xc05d8, Class: MSCTFIME UI, Title: MSCTFIME UI
HWND: 0xc05d8, Parent: 0x60b6a, Class: IME, Title: Default IME
HWND: 0x19089a, Parent: 0x270888, Class: MSCTFIME UI, Title: MSCTFIME UI
HWND: 0x270888, Parent: 0x508de, Class: IME, Title: Default IME
HWND: 0x1070e, Parent: 0x205a8, Class: MSCTFIME UI, Title: MSCTFIME UI
HWND: 0x205a8, Parent: 0x10688, Class: IME, Title: Default IME
HWND: 0x70adc, Parent: 0x1b0558, Class: IME, Title: Default IME
HWND: 0x70648, Parent: 0x19c07c0, Class: IME, Title: Default IME
HWND: 0x909cc, Parent: 0x1c0740, Class: IME, Title: Default IME
HWND: 0x60948, Parent: 0x6088e, Class: IME, Title: Default IME
HWND: 0x1a0952, Parent: 0xa107e2, Class: IME, Title: Default IME
HWND: 0x26085e, Parent: 0x13081a, Class: IME, Title: Default IME
HWND: 0xc0854, Parent: 0xd0812, Class: IME, Title: Default IME
